x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
5.050505050505050673e-10,2.063153404268326009e+26,2.063593613110489112e+26,2.063980306823634906e+26,2.064031358375519418e+26,2.064107962113919227e+26,9.879364476061581019e+25,9.066376198904340780e+25
0.000000000000000000e+00,2.063388978254156239e+26,2.063744324340100991e+26,2.064056582625223641e+26,2.064097817232186943e+26,2.064159694933393910e+26,9.869326296057773105e+25,9.058633867094279488e+25
1.010101010101010135e-09,2.062917414713602262e+26,2.063442731590429817e+26,2.063903987350495036e+26,2.063964866357949193e+26,2.064056209192720103e+26,9.889355854484943192e+25,9.074091484489089215e+25
5.050505050505050673e-10,2.063153404329510395e+26,2.063593613126548854e+26,2.063980306825725696e+26,2.064031358376901711e+26,2.064107962114573780e+26,9.879364452260390965e+25,9.066376189342724813e+25
1.515151515151515202e-09,2.062681008459107741e+26,2.063291679483146019e+26,2.063827624167200867e+26,2.063898341153932206e+26,2.064004436157832134e+26,9.899300875671992239e+25,9.081779902464228239e+25
1.010101010101010135e-09,2.062917414774992463e+26,2.063442731606525636e+26,2.063903987352586170e+26,2.063964866359333203e+26,2.064056209193374656e+26,9.889355830979133501e+25,9.074091475008727157e+25
2.020202020202020269e-09,2.062444184431372749e+26,2.063140456507281970e+26,2.063751217237206691e+26,2.063831782739286762e+26,2.063952642997925197e+26,9.909199954666451284e+25,9.089441620372863810e+25
1.515151515151515202e-09,2.062681008520705131e+26,2.063291679499277229e+26,2.063827624169295436e+26,2.063898341155318278e+26,2.064004436158487031e+26,9.899300852456993065e+25,9.081779893064261097e+25
2.525252525252525130e-09,2.062206941553354179e+26,2.062989062380886125e+26,2.063674766523924543e+26,2.063765191089806080e+26,2.063900829701668480e+26,9.919053501392920037e+25,9.097076804344281117e+25
2.020202020202020269e-09,2.062444184493178703e+26,2.063140456523449945e+26,2.063751217239302979e+26,2.063831782740673177e+26,2.063952642998580437e+26,9.909199931737780400e+25,9.089441611052439463e+25
3.030303030303030404e-09,2.061969278744414552e+26,2.062837496821402548e+26,2.063598271990725910e+26,2.063698566181255894e+26,2.063848996257723614e+26,9.928861920735446925e+25,9.104685619108671159e+25
2.525252525252525130e-09,2.062206941615372476e+26,2.062989062397089147e+26,2.063674766526025297e+26,2.063765191091196619e+26,2.063900829702326813e+26,9.919053478746179397e+25,9.097076795102578366e+25
3.535353535353535678e-09,2.061731194920311364e+26,2.062685759545669544e+26,2.063521733600945172e+26,2.063631907989390942e+26,2.063797142654739171e+26,9.938625612614592826e+25,9.112268228011824695e+25
3.030303030303030404e-09,2.061969278806643131e+26,2.062837496837639930e+26,2.063598271992830100e+26,2.063698566182650212e+26,2.063848996258381603e+26,9.928861898366317509e+25,9.104685609944868807e+25
4.040404040404040539e-09,2.061492688993181282e+26,2.062533850269924808e+26,2.063445151317874790e+26,2.063565216489932975e+26,2.063745268881359259e+26,9.948344972063208041e+25,9.119824793029494605e+25
3.535353535353535678e-09,2.061731194982749881e+26,2.062685759561940255e+26,2.063521733603049362e+26,2.063631907990783542e+26,2.063797142655396473e+26,9.938625590518808872e+25,9.112268218925089518e+25
4.545454545454545399e-09,2.061253759871517809e+26,2.062381768709794777e+26,2.063368525104766335e+26,2.063498491658583132e+26,2.063693374926215613e+26,9.958020389300723202e+25,9.127355474781641447e+25
4.040404040404040539e-09,2.061492689055831798e+26,2.062533850286231597e+26,2.063445151319981385e+26,2.063565216491324888e+26,2.063745268882016560e+26,9.948344950236613740e+25,9.119824784019026021e+25
5.050505050505050260e-09,2.061014406460174724e+26,2.062229514580300809e+26,2.063291854924831524e+26,2.063431733471016434e+26,2.063641460777934131e+26,9.967652249806184328e+25,9.134860432546582792e+25
4.545454545454545399e-09,2.061253759934383074e+26,2.062381768726136612e+26,2.063368525106874649e+26,2.063498491659975045e+26,2.063693374926872915e+26,9.958020367739229744e+25,9.127355465846654337e+25
5.555555555555555948e-09,2.060774627660335839e+26,2.062077087595854726e+26,2.063215140741249431e+26,2.063364941902893131e+26,2.063589526425137271e+26,9.977240934389923807e+25,9.142339824274807555e+25
5.050505050505050260e-09,2.061014406523254737e+26,2.062229514596680097e+26,2.063291854926945336e+26,2.063431733472411096e+26,2.063641460778595212e+26,9.967652228505783649e+25,9.134860423686281726e+25
6.060606060606060808e-09,2.060534422369497137e+26,2.061924487470251588e+26,2.063138382517146214e+26,2.063298116929842546e+26,2.063537571856426191e+26,9.986786819263911961e+25,9.149793806602747385e+25
5.555555555555555948e-09,2.060774627723629226e+26,2.062077087612268029e+26,2.063215140743362211e+26,2.063364941904287792e+26,2.063589526425796978e+26,9.977240913346659385e+25,9.142339815488410851e+25
6.565656565656565669e-09,2.060293789481473641e+26,2.061771713916683787e+26,2.063061580215621576e+26,2.063231258527474765e+26,2.063485597060410293e+26,9.996290276110936938e+25,9.157222534866345317e+25
6.060606060606060808e-09,2.060534422433009051e+26,2.061924487486702343e+26,2.063138382519261743e+26,2.063298116931240644e+26,2.063537571857087616e+26,9.986786798473932068e+25,9.149793797889505999e+25
7.070707070707071356e-09,2.060052727886359904e+26,2.061618766647717681e+26,2.062984733799724367e+26,2.063164366671379253e+26,2.063433602025679740e+26,1.000575167215245833e+26,9.164626163114428592e+25
6.565656565656565669e-09,2.060293789545202366e+26,2.061771713933170277e+26,2.063061580217739166e+26,2.063231258528875268e+26,2.063485597061072749e+26,9.996290255570434516e+25,9.157222526225499901e+25
7.575757575757576217e-09,2.059811236470525536e+26,2.061465645375308711e+26,2.062907843232465986e+26,2.063097441337112150e+26,2.063381586740816103e+26,1.001517137021524960e+26,9.172004844121931993e+25
7.070707070707071356e-09,2.060052727950303720e+26,2.061618766664239561e+26,2.062984733801841958e+26,2.063164366672777694e+26,2.063433602026339791e+26,1.000575165185768301e+26,9.164626154545209486e+25
8.080808080808081077e-09,2.059569314116605248e+26,2.061312349810797279e+26,2.062830908476822784e+26,2.063030482500219973e+26,2.063329551194396487e+26,1.002454972879695818e+26,9.179358729403002654e+25
7.575757575757576217e-09,2.059811236534689255e+26,2.061465645391868387e+26,2.062907843234587700e+26,2.063097441338515058e+26,2.063381586741478215e+26,1.001517135016255238e+26,9.172004835623621079e+25
8.585858585858585938e-09,2.059326959703473417e+26,2.061158879664899470e+26,2.062753929495727131e+26,2.062963490136216942e+26,2.063277495374991125e+26,1.003388710213037536e+26,9.186687969223867782e+25
8.080808080808081077e-09,2.059569314180989213e+26,2.061312349827392689e+26,2.062830908478946559e+26,2.063030482501623225e+26,2.063329551195058599e+26,1.002454970898272613e+26,9.179358720974868070e+25
9.090909090909090799e-09,2.059084172106236534e+26,2.061005234647715988e+26,2.062676906252069478e+26,2.062896464220596318e+26,2.063225419271157537e+26,1.004318384024662385e+26,9.193992712615611326e+25
8.585858585858585938e-09,2.059326959768078659e+26,2.061158879681529927e+26,2.062753929497852968e+26,2.062963490137621568e+26,2.063277495375653924e+26,1.003388708255106772e+26,9.186687960865193127e+25
9.595959595959595659e-09,2.058840950196213270e+26,2.060851414468712911e+26,2.062599838708701796e+26,2.062829404728828338e+26,2.063173322871446715e+26,1.005244028903727676e+26,9.201273107386761664e+25
9.090909090909090799e-09,2.059084172171063396e+26,2.061005234664380805e+26,2.062676906254198751e+26,2.062896464222001974e+26,2.063225419271822055e+26,1.004318382089877887e+26,9.193992704325678481e+25
1.010101010101010052e-08,2.058597292840918676e+26,2.060697418836746087e+26,2.062522726828436539e+26,2.062762311636359192e+26,2.063121206164402435e+26,1.006165679031528255e+26,9.208529300135724677e+25
9.595959595959595659e-09,2.058840950261261753e+26,2.060851414485415523e+26,2.062599838710833818e+26,2.062829404730234682e+26,2.063173322872112263e+26,1.005244026991745846e+26,9.201273099164871409e+25
1.060606060606060703e-08,2.058353198904054556e+26,2.060543247460040522e+26,2.062445570574045961e+26,2.062695184918615480e+26,2.063069069138561600e+26,1.007083368187488499e+26,9.215761436263118895e+25
1.010101010101010052e-08,2.058597292906192215e+26,2.060697418853486495e+26,2.062522726830570278e+26,2.062762311637769659e+26,2.063121206165068326e+26,1.006165677142014945e+26,9.208529291981186381e+25
1.111111111111111190e-08,2.058108667245486109e+26,2.060388900046186938e+26,2.062368369908256961e+26,2.062628024550993569e+26,2.063016911782443248e+26,1.007997129755051060e+26,9.222969659983830612e+25
1.060606060606060703e-08,2.058353198969551777e+26,2.060543247476815977e+26,2.062445570576180731e+26,2.062695184920024917e+26,2.063069069139225773e+26,1.007083366320113341e+26,9.215761428175229902e+25
1.161616161616161676e-08,2.057863696721236080e+26,2.060234376302159647e+26,2.062291124793761049e+26,2.062560830508873332e+26,2.062964734084570539e+26,1.008906996727457891e+26,9.230154114339135998e+25
1.111111111111111190e-08,2.058108667311209416e+26,2.060388900063001563e+26,2.062368369910395511e+26,2.062628024552405754e+26,2.063016911783109483e+26,1.007997127909490900e+26,9.222969651961944959e+25
1.212121212121212162e-08,2.057618286183453158e+26,2.060079675934292493e+26,2.062213835193210220e+26,2.062493602767607842e+26,2.062912536033451858e+26,1.009813001713435234e+26,9.237314941208448698e+25
1.161616161616161676e-08,2.057863696787183757e+26,2.060234376319010694e+26,2.062291124795900974e+26,2.062560830510285861e+26,2.062964734085236087e+26,1.008906994903394729e+26,9.230154106382568207e+25
1.262626262626262648e-08,2.057372434480415405e+26,2.059924798648289162e+26,2.062136501069207679e+26,2.062426341302527149e+26,2.062860317617586658e+26,1.010715176942774677e+26,9.244452281321089756e+25
1.212121212121212162e-08,2.057618286249630014e+26,2.060079675951180304e+26,2.062213835195352207e+26,2.062493602769021401e+26,2.062912536034118093e+26,1.009812999910555882e+26,9.237314933316528755e+25
1.313131313131313134e-08,2.057126140456503459e+26,2.059769744149220778e+26,2.062059122384325704e+26,2.062359046088936910e+26,2.062808078825468549e+26,1.011613554271821947e+26,9.251566274267823903e+25
